,hit,corr,containment,score,rerank_score
258,NAA35,0.230468,1.0,61.0,259.0
259,NAV2,0.265454,1.0,61.0,260.0
260,NBAS,0.325921,1.0,61.0,261.0
261,NEDD1,0.236652,1.0,61.0,262.0
262,NFKB2,-0.349977,1.0,61.0,263.0
263,NR3C1,-0.31443,1.0,61.0,264.0
264,OGFR,-0.374387,1.0,61.0,265.0
265,PCDH7,0.298034,1.0,61.0,266.0
266,PELP1,0.267276,1.0,61.0,267.0
267,PLEKHA2,0.191919,1.0,61.0,268.0
268,PLEKHA3,0.316548,1.0,61.0,269.0
269,PLEKHO1,-0.328086,1.0,61.0,270.0
270,PPP6R1,-0.326357,1.0,61.0,271.0
271,PRDX1,-0.36135,1.0,61.0,272.0
272,PRKCZ,0.259094,1.0,61.0,273.0
273,PRKD2,-0.278399,1.0,61.0,274.0
274,PRSS23,0.294302,1.0,61.0,275.0
275,QSOX2,0.359128,1.0,61.0,276.0
276,RAD50,0.298801,1.0,61.0,277.0
277,RAVER2,0.180078,1.0,61.0,278.0
278,RBPMS,-0.223978,1.0,61.0,279.0
279,RNF146,-0.331496,1.0,61.0,280.0
280,RNPEP,-0.085692,1.0,61.0,281.0
281,ROR2,0.326082,1.0,61.0,282.0
282,SCAPER,0.326875,1.0,61.0,283.0
283,SEMA5A,0.349017,1.0,61.0,284.0
284,SERINC5,0.28667,1.0,61.0,285.0
285,SH3KBP1,-0.187495,1.0,61.0,286.0
286,SLC25A35,0.219776,1.0,61.0,287.0
287,SMU1,0.296043,1.0,61.0,288.0
288,SNX29,-0.342443,1.0,61.0,289.0
289,SPTA1,0.085383,1.0,61.0,290.0
290,TACSTD2,0.257054,1.0,61.0,291.0
291,TAPT1,0.384393,1.0,61.0,292.0
292,TM7SF3,0.410164,0.887206,61.0,293.0
293,TMEM51,0.305844,1.0,61.0,294.0
294,TPD52,-0.316328,1.0,61.0,295.0
295,TPP1,-0.236631,1.0,61.0,296.0
296,TTC17,0.206822,1.0,61.0,297.0
297,UBA3,0.281531,1.0,61.0,298.0
298,UGT8,0.141702,1.0,61.0,299.0
299,VAT1,-0.273955,1.0,61.0,300.0
300,VIM,0.20874,1.0,61.0,301.0
301,VLDLR,0.351951,1.0,61.0,302.0
302,VPS16,0.144941,1.0,61.0,303.0
303,XPO6,-0.330316,1.0,61.0,304.0
304,ACP5,-0.378641,1.0,60.0,305.0
305,ACVR1,0.397442,0.950355,60.0,306.0
306,AFTPH,-0.11033,1.0,60.0,307.0
307,AKAP7,-0.292869,1.0,60.0,308.0
308,ALPP,-0.144221,1.0,60.0,309.0
309,ANXA6,-0.212083,1.0,60.0,310.0
310,AP5S1,-0.141551,1.0,60.0,311.0
311,ARHGDIB,-0.332138,1.0,60.0,312.0
312,ARPC5L,-0.091561,1.0,60.0,313.0
313,ASPH,0.248516,1.0,60.0,314.0
314,ATP7A,0.305326,1.0,60.0,315.0
315,B3GAT3,0.107146,1.0,60.0,316.0
316,BCAM,-0.290885,1.0,60.0,317.0
317,BIN2,-0.349792,1.0,60.0,318.0
318,BLVRA,-0.258998,1.0,60.0,319.0
319,BLZF1,-0.016835,1.0,60.0,320.0
320,CARS2,-0.174045,1.0,60.0,321.0
321,CASP7,0.250043,1.0,60.0,322.0
322,CCL14,-0.196809,1.0,60.0,323.0
323,CD82,-0.165718,1.0,60.0,324.0
324,CDV3,-0.393122,1.0,60.0,325.0
325,CNNM3,0.275099,1.0,60.0,326.0
326,CNPY3,0.192501,1.0,60.0,327.0
327,COPG2,0.247711,1.0,60.0,328.0
328,CORO7,-0.255149,1.0,60.0,329.0
329,CRAT,0.401871,1.0,60.0,330.0
330,CRTAC1,-0.295927,1.0,60.0,331.0
331,CSF1R,-0.36127,0.935276,60.0,332.0
332,CTBS,-0.287457,1.0,60.0,333.0
333,CTR9,0.188809,1.0,60.0,334.0
334,DEF6,-0.320282,1.0,60.0,335.0
335,DFFB,0.198633,1.0,60.0,336.0
336,DHX58,-0.29242,1.0,60.0,337.0
337,DMXL2,-0.283485,1.0,60.0,338.0
338,DNAJC10,0.244105,1.0,60.0,339.0
339,DNAJC17,0.071562,1.0,60.0,340.0
340,DOCK2,-0.33286,1.0,60.0,341.0
341,ELP4,-0.15342,1.0,60.0,342.0
342,ERMP1,0.300435,1.0,60.0,343.0
343,EZR,-0.364245,1.0,60.0,344.0
344,FAM49B,-0.256732,1.0,60.0,345.0
345,FAS,0.29972,1.0,60.0,346.0
346,FCHSD1,-0.22488,1.0,60.0,347.0
347,FHIT,-0.157377,1.0,60.0,348.0
348,FOXA2,0.291155,1.0,60.0,349.0
349,GATM,0.155768,1.0,60.0,350.0
350,GNA12,0.323792,1.0,60.0,351.0
351,GPX4,-0.295383,1.0,60.0,352.0
352,HPS1,0.490121,0.83562,60.0,353.0
353,HSPA12A,0.353046,1.0,60.0,354.0
354,IL1RAP,-0.282666,1.0,60.0,355.0
355,KLC1,0.229876,1.0,60.0,356.0
356,LIMK1,-0.273826,1.0,60.0,357.0
357,MAGI1,0.225451,1.0,60.0,358.0
358,MAN2B1,-0.188791,1.0,60.0,359.0
359,MARK1,0.414508,1.0,60.0,360.0
360,METTL9,0.227333,1.0,60.0,361.0
361,MMP14,0.320873,1.0,60.0,362.0
362,MPZL2,0.37398,1.0,60.0,363.0
363,MRE11,0.238884,1.0,60.0,364.0
364,MROH1,0.180283,1.0,60.0,365.0
365,MRPL33,0.146397,1.0,60.0,366.0
366,MT-ND4,0.177449,1.0,60.0,367.0
367,MX2,-0.3797,1.0,60.0,368.0
368,NADK,-0.325194,1.0,60.0,369.0
369,NAT14,0.156947,1.0,60.0,370.0
370,NBEA,-0.182194,1.0,60.0,371.0
371,NHS,0.291201,1.0,60.0,372.0
372,NUDT19,-0.231444,1.0,60.0,373.0
373,OGFOD3,0.394258,1.0,60.0,374.0
374,PAK1,0.273589,1.0,60.0,375.0
375,PDIA5,0.402827,1.0,60.0,376.0
376,PITPNC1,0.201611,1.0,60.0,377.0
377,PKP4,0.319026,1.0,60.0,378.0
378,PLCB4,0.381434,1.0,60.0,379.0
379,PLEKHO2,-0.326991,1.0,60.0,380.0
380,PPP1R11,-0.174473,1.0,60.0,381.0
381,PRKCE,-0.326946,1.0,60.0,382.0
382,PSMD1,0.243855,1.0,60.0,383.0
383,PSTPIP1,-0.307265,1.0,60.0,384.0
384,PTK2B,-0.399445,1.0,60.0,385.0
385,PTPN18,-0.232368,1.0,60.0,386.0
386,RAB3GAP2,0.277416,1.0,60.0,387.0
387,RAPGEF1,-0.243384,1.0,60.0,388.0
388,RBBP5,0.136203,1.0,60.0,389.0
389,RENBP,-0.369625,1.0,60.0,390.0
390,RNF123,0.016981,1.0,60.0,391.0
391,RNF20,0.156841,1.0,60.0,392.0
392,SELENON,0.317885,1.0,60.0,393.0
393,SERPINB3,0.196437,1.0,60.0,394.0
394,SGCB,0.154335,1.0,60.0,395.0
395,SH3BGRL3,-0.287261,1.0,60.0,396.0
396,SMARCAD1,0.334956,1.0,60.0,397.0
397,SOD3,-0.200808,1.0,60.0,398.0
398,SOGA1,-0.342071,1.0,60.0,399.0
399,SQOR,-0.18507,1.0,60.0,400.0
400,SRSF10,0.192854,1.0,60.0,401.0
401,SSBP2,-0.083205,1.0,60.0,402.0
402,STK24,-0.301677,1.0,60.0,403.0
403,TDRD7,-0.257885,1.0,60.0,404.0
404,TFAM,0.263656,1.0,60.0,405.0
405,TMSB4X,-0.162263,1.0,60.0,406.0
406,TOR1AIP2,0.154623,1.0,60.0,407.0
